	title	title_link	start_date	end_date	type	category	place	title2
0	MBC Construction Fair	https://10times.com/mbc-construction-fair	Fri, 31 Jan 2020	Mon, 03 Feb 2020	Tradeshow	['Building & Construction']	 SETEC, Seoul	
1	Dong a Home & Living Fair	https://10times.com/home-living-fair	Fri, 31 Jan 2020	Mon, 03 Feb 2020	Tradeshow	['Furnishings & Decor', 'Home & Office']	 iti the center (AT Center), Seoul	Dong a Home & Living Fair will provide correct and informative home & living information and will be held to provide marketing venues to participating companies and revitalize related industries with accumulated...
2	International Conference on Business Management and Social Science (ICBMSS)	https://10times.com/icbmss-seoul	Mon, 03 Feb 2020	Mon, 03 Feb 2020	Conference	['Business Services', 'Banking & Finance']	 Hotel Skypark Kingstown Dongdaemun, Seoul	The key motive of ICBMSS is to provide a world-class platform for the global participants to share their ideas and experience in person with their peers expected to join from different parts of the world....
3	International Conference on Economics, Management and Social Study (ICEMSS)	https://10times.com/icemss-seoul	Tue, 04 Feb 2020	Wed, 05 Feb 2020	Conference	['Education & Training']	 SOTETSU HOTELS THE SPLAISIR SEOUL MYEONG-DONG, Seoul	International Conference on Economics, Management and Social Study provides opportunities for the delegates to exchange new ideas and application experiences face to face, to establish business or research...
4	International Conference on Chemical and Biochemical Engineering (ICCBE)	https://10times.com/icc-be	Tue, 04 Feb 2020	Wed, 05 Feb 2020	Conference	['Science & Research', 'Education & Training']	 SOTETSU HOTELS THE SPLAISIR SEOUL DONGDAEMUN, Seoul	International Conference on Chemical and Biochemical Engineering aimed at presenting current research being carried out in that area. The idea of the conference is for the scientists, scholars, engineers...
5	SEMICON Korea	https://10times.com/semicon-korea	Wed, 05 Feb 2020	Fri, 07 Feb 2020	Tradeshow	['Electric & Electronics', 'Education & Training']	 COEX Convention Center, Seoul	Design The Smarter Future
6	International Conference on Geological and Environmental Sustainability (ICGES)	https://10times.com/icges-seoul	Sat, 08 Feb 2020	Sat, 08 Feb 2020	Conference	['Education & Training', 'Environment & Waste']	 Sheraton Seoul D Cube City Hotel, Seoul	International Conference on Geological and Environmental Sustainability will permit the exchange of ideas, knowledge between the different disciplines for facilitating research, interdisciplinary collaborations...
7	IoT in Action Event	https://10times.com/iot-in-action-event-seoul	Tue, 11 Feb 2020	Tue, 11 Feb 2020	Conference	['IT & Technology']	 InterContinental Seoul Coex, Seoul	IoT in Action event is the place whether you are a business or technical decision maker looking for specific skills and valuable insights from others' IoT experiences, or you want to connect with those...
8	International Conference on “ Business, Economics, Social Science & Humanities (BESSH)	https://10times.com/besshseoul	Tue, 11 Feb 2020	Wed, 12 Feb 2020	Conference	['Science & Research', 'Education & Training', 'Social Sciences']	 Crown Park Hotel Seoul, Seoul	Advances in collaborative research for Business, Economics, Social Sciences and Humanities
9	International Conference on “Engineering & Technology, Computer, Basic & Applied Sciences” (ECBA)	https://10times.com/ecbaseoul	Tue, 11 Feb 2020	Wed, 12 Feb 2020	Conference	['IT & Technology']	 Nine Tree Premier Hotel Myeongdong2, Seoul	Advances in collaboration for Engineering & Technology, Computer, Basic and Applied Sciences
10	International Conference on Business, Education, Social Science, and Management. (BESM-46)20200101st edition	https://10times.com/besm-seoul	Tue, 11 Feb 2020	Wed, 12 Feb 2020	Conference	['Banking & Finance', 'Entertainment & Media', 'Psychology']	 SOTETSU HOTELS THE SPLAISIR SEOUL DONGDAEMUN, Seoul	Call for Abstract, Poster and Full Paper.
